t,asset,close
1770915600,eth,1908.4
1770919200,btc,65551.5
1770919200,eth,1917.25
1770922800,btc,65752.0
1770922800,eth,1923.95
1770926400,btc,65378.5
1770926400,eth,1914.35
1770930000,btc,65790.5
1770930000,eth,1921.4
1770933600,btc,66253.0
1770933600,eth,1942.85
1770937200,btc,66233.5
1770937200,eth,1946.05
1770940800,btc,65898.5
1770940800,eth,1932.0
1770944400,btc,66411.5
1770944400,eth,1941.95
1770948000,btc,66625.0
1770948000,eth,1947.25
1770951600,btc,66500.5
1770951600,eth,1951.8
1770955200,btc,66277.0
1770955200,eth,1942.65
1770958800,btc,66140.0
1770958800,eth,1932.5
1770962400,btc,66332.5
1770962400,eth,1935.05
1770966000,btc,66140.0
1770966000,eth,1933.4
1770969600,btc,66636.5
1770969600,eth,1957.45
1770973200,btc,66922.5
1770973200,eth,1960.05
1770976800,btc,66932.0
1770976800,eth,1957.35
1770980400,btc,67118.5
1770980400,eth,1958.8
1770984000,btc,67046.5
1770984000,eth,1959.6
1770987600,btc,67228.5
1770987600,eth,1969.15
1770991200,btc,67701.5
1770991200,eth,1989.05
1770994800,btc,68653.5
1770994800,eth,2035.0
1770998400,btc,68897.5
1770998400,eth,2060.75
1771002000,btc,68975.5
1771002000,eth,2058.25
1771005600,btc,69069.5
1771005600,eth,2056.0
1771009200,btc,68860.0
1771009200,eth,2056.5
1771012800,btc,68726.5
1771012800,eth,2045.1
1771016400,btc,68856.5
1771016400,eth,2053.0
1771020000,btc,68929.0
1771020000,eth,2052.6
1771023600,btc,68800.0
1771023600,eth,2047.55
1771027200,btc,69042.5
1771027200,eth,2054.3
1771030800,btc,68921.0
1771030800,eth,2053.75
1771034400,btc,68839.5
1771034400,eth,2048.85
1771038000,btc,68935.5
1771038000,eth,2053.6
1771041600,btc,68750.0
1771041600,eth,2052.75
1771045200,btc,68733.0
1771045200,eth,2050.0
1771048800,btc,68888.5
1771048800,eth,2052.2
1771052400,btc,69180.0
1771052400,eth,2056.0
1771056000,btc,69718.5
1771056000,eth,2081.55
1771059600,btc,69688.5
1771059600,eth,2077.25
1771063200,btc,69647.0
1771063200,eth,2076.65
1771066800,btc,70485.5
1771066800,eth,2098.6
1771070400,btc,69609.0
1771070400,eth,2070.5
1771074000,btc,69441.0
1771074000,eth,2071.4
1771077600,btc,69693.0
1771077600,eth,2085.25
1771081200,btc,69772.0
1771081200,eth,2087.95
1771084800,btc,69741.0
1771084800,eth,2082.7
1771088400,btc,69714.5
1771088400,eth,2079.5
1771092000,btc,69730.5
1771092000,eth,2084.2
1771095600,btc,69853.0
1771095600,eth,2087.5
1771099200,btc,69995.0
1771099200,eth,2088.9
1771102800,btc,69900.0
1771102800,eth,2084.9
1771106400,btc,69939.0
1771106400,eth,2089.65
1771110000,btc,69784.5
1771110000,eth,2085.9
1771113600,btc,69748.5
1771113600,eth,2079.1
1771117200,btc,69678.5
1771117200,eth,2063.0
1771120800,btc,69470.0
1771120800,eth,2059.4
1771124400,btc,69930.5
1771124400,eth,2058.6
1771128000,btc,70155.0
1771128000,eth,2076.0
1771131600,btc,70235.5
1771131600,eth,2088.75
1771135200,btc,70377.0
1771135200,eth,2085.2
1771138800,btc,70760.0
1771138800,eth,2090.4
1771142400,btc,70399.0
1771142400,eth,2068.8
1771146000,btc,70384.5
1771146000,eth,2068.1
1771149600,btc,70398.0
1771149600,eth,2060.65
1771153200,btc,70275.0
1771153200,eth,2060.9
1771156800,btc,69261.0
1771156800,eth,2008.8
1771160400,btc,68902.0
1771160400,eth,2001.5
1771164000,btc,69124.0
1771164000,eth,2009.75
1771167600,btc,69054.5
1771167600,eth,2010.65
1771171200,btc,69000.0
1771171200,eth,2006.6
1771174800,btc,68597.5
1771174800,eth,1971.15
1771178400,btc,68405.0
1771178400,eth,1958.75
1771182000,btc,68262.5
1771182000,eth,1942.05
1771185600,btc,68420.5
1771185600,eth,1949.45
1771189200,btc,68832.5
1771189200,eth,1959.0
1771192800,btc,68976.0
1771192800,eth,1969.95
1771196400,btc,68800.5
1771196400,eth,1965.55
1771200000,btc,68822.5
1771200000,eth,1968.8
1771203600,btc,68616.5
1771203600,eth,1962.65
1771207200,btc,68309.5
1771207200,eth,1956.2
1771210800,btc,68400.0
1771210800,eth,1958.0
1771214400,btc,68847.0
1771214400,eth,1972.3
1771218000,btc,68370.5
1771218000,eth,1957.3
1771221600,btc,68428.0
1771221600,eth,1966.25
1771225200,btc,68562.0
1771225200,eth,1970.25
1771228800,btc,68733.5
1771228800,eth,1976.65
1771232400,btc,68966.5
1771232400,eth,1986.15
1771236000,btc,68771.5
1771236000,eth,1978.3
1771239600,btc,68797.0
1771239600,eth,1976.0
1771243200,btc,69751.5
1771243200,eth,2006.15
1771246800,btc,68364.0
1771246800,eth,1967.5
1771250400,btc,68378.5
1771250400,eth,1972.0
1771254000,btc,67483.0
1771254000,eth,1955.85
1771257600,btc,67822.5
1771257600,eth,1972.6
1771261200,btc,67900.5
1771261200,eth,1978.1
1771264800,btc,67814.5
1771264800,eth,1968.4
1771268400,btc,67861.5
1771268400,eth,1973.55
1771272000,btc,68499.0
1771272000,eth,1993.15
1771275600,btc,68845.0
1771275600,eth,1998.75
1771279200,btc,68573.0
1771279200,eth,1989.75
1771282800,btc,68877.0
1771282800,eth,1997.4
1771286400,btc,68858.5
1771286400,eth,1997.9
1771290000,btc,68592.0
1771290000,eth,1991.25
1771293600,btc,68803.0
1771293600,eth,1998.1
1771297200,btc,68440.5
1771297200,eth,1985.2
1771300800,btc,68435.5
1771300800,eth,1988.85
1771304400,btc,68193.0
1771304400,eth,1974.35
1771308000,btc,68373.0
1771308000,eth,1980.3
1771311600,btc,68337.0
1771311600,eth,1984.85
1771315200,btc,68141.0
1771315200,eth,1975.95
1771318800,btc,68067.5
1771318800,eth,1974.6
1771322400,btc,67798.0
1771322400,eth,1965.25
