ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1761958798915000,btc,1762156800000000,120000,call,43.31,,46.73,0.0001,109726.4419,0.00479,24.7
1761958797908000,btc,1762156800000000,107000,call,28.96,,34.72,0.0264,109725.9775,0.86606,5.6
1761958798915000,btc,1762070400000000,116000,call,37.23,,41.26,0.0,109706.3424,0.00607,31.4
1761958797908000,btc,1762070400000000,105000,call,35.19,,220.75,0.043,109705.8844,0.98235,0.0
1761958797885000,btc,1761984000000000,115000,call,54.62,,75.31,0.0,109686.2429,0.00112,77.9
1761958795883000,btc,1761984000000000,104000,call,64.96,,141.56,0.0518,109685.7901,0.99818,2.1
1761958795442000,eth,1762502400000000,4300,call,60.47,59.3,61.67,0.0031,3850.66,0.08841,5958.0
1761958798463000,eth,1762502400000000,3750,call,61.76,60.39,63.46,0.0467,3850.62,0.64322,379.0
1761958796449000,eth,1762243200000000,4200,call,54.88,53.26,56.37,0.0011,3848.3522,0.04929,67.0
1761958799470000,eth,1762243200000000,3775,call,54.18,50.57,57.72,0.0313,3848.3117,0.65527,0.0
1761958797456000,eth,1762156800000000,4050,call,48.51,46.41,50.19,0.0017,3847.5657,0.09429,569.0
1761958795442000,eth,1762156800000000,3750,call,49.6,32.61,61.61,0.0314,3847.5329,0.7495,22.0
1761958796449000,eth,1769760000000000,5000,call,68.22,67.7,68.89,0.0509,3889.1077,0.28404,99.0
1761958799470000,eth,1769760000000000,3700,call,68.0,67.34,68.67,0.1567,3889.1131,0.62419,0.0
1761958796449000,eth,1762070400000000,4250,call,57.5,,68.39,0.0,3846.8137,0.00188,32.0
1761958796139000,eth,1762070400000000,3900,call,39.62,38.04,41.01,0.0041,3846.8137,0.28408,154.0
1761958799470000,eth,1762070400000000,3500,call,69.68,,240.72,0.0903,3846.7795,0.98928,0.0
1761958796449000,eth,1764316800000000,6000,call,77.58,76.88,78.78,0.0018,3860.6,0.02428,7422.0
1761958797456000,eth,1764316800000000,4700,call,66.24,65.4,66.91,0.0141,3860.54,0.15971,8408.0
1761958795442000,eth,1774598400000000,7500,call,73.13,72.46,73.65,0.0228,3914.77,0.12046,2734.0
1761958798463000,eth,1774598400000000,5400,call,69.13,68.79,69.47,0.0683,3914.75,0.3029,1243.0
1761958795442000,eth,1774598400000000,3500,call,68.75,68.13,69.23,0.2214,3914.77,0.68258,2533.0
1761958799470000,eth,1774598400000000,1600,call,84.37,79.4,86.27,0.5978,3914.76,0.97394,765.0
1761958796449000,eth,1782460800000000,7400,call,71.69,71.17,72.24,0.0547,3959.9,0.21396,1652.0
1761958795442000,eth,1782460800000000,5500,call,69.15,68.83,69.65,0.1105,3959.89,0.37813,37031.0
1761958795442000,eth,1782460800000000,3600,call,68.5,67.94,68.97,0.2561,3959.89,0.67317,308.0
1761958795442000,eth,1782460800000000,1500,call,81.19,77.82,82.74,0.633,3959.88,0.96487,0.0
1761958796449000,eth,1766736000000000,7500,call,79.83,78.57,80.83,0.0026,3873.12,0.02433,28870.0
1761958796449000,eth,1766736000000000,5400,call,69.18,68.57,69.75,0.0165,3873.13,0.13572,12514.0
1761958797456000,eth,1766736000000000,4300,call,66.73,66.35,67.02,0.0626,3873.13,0.39255,2412.0
1761958799470000,eth,1766736000000000,3000,call,72.66,71.41,73.63,0.2501,3873.09,0.85191,44170.0
1761958798463000,eth,1766736000000000,1500,call,96.63,,110.78,0.6131,3873.1,0.99664,1797.0
1761958795442000,eth,1790323200000000,6400,call,69.93,69.35,70.49,0.115,4009.08,0.35433,305.0
1761958795442000,eth,1790323200000000,4200,call,68.41,67.8,69.02,0.2372,4009.07,0.59974,283.0
1761958795442000,eth,1790323200000000,1500,call,78.0,75.34,80.39,0.6443,4009.08,0.95533,0.0
1761958796449000,eth,1790323200000000,10000,call,73.81,73.11,74.57,0.0477,4009.07,0.16962,884.0
1761958799470000,eth,1763712000000000,4600,call,65.19,64.29,66.17,0.0105,3856.685,0.14234,853.0
1761958797456000,eth,1763712000000000,3800,call,65.66,65.25,66.33,0.0689,3856.73,0.56872,33.0
1761958795442000,eth,1761984000000000,4125,call,73.13,,105.76,0.0,3845.9944,0.00037,243.0
1761958796449000,eth,1761984000000000,3850,call,35.41,33.66,35.44,0.0035,3845.9944,0.46057,1984.0
1761958795442000,eth,1763107200000000,5000,call,69.37,67.78,70.99,0.0014,3852.89,0.02855,7219.0
1761958797908000,btc,1769760000000000,125000,call,43.73,43.18,43.73,0.043,111258.0262,0.33481,32.6
1761958796258000,btc,1769760000000000,104000,call,45.54,44.9,46.0,0.1237,111258.0538,0.6595,0.0
1761958798915000,btc,1766736000000000,136000,call,43.7,43.47,44.08,0.0102,110564.32,0.12873,410.8
1761958799210000,btc,1763712000000000,109000,call,40.55,40.35,41.42,0.0427,110003.41,0.55711,9.6
1761958799922000,btc,1762243200000000,113000,put,29.83,25.46,44.95,0.0319,109746.3618,-0.84547,0.0
1761958799922000,btc,1762156800000000,120000,put,43.31,,235.9,0.0937,109726.2591,-0.99521,0.0
1761958796066000,btc,1762156800000000,107000,put,28.95,27.97,29.73,0.0016,109725.9667,-0.13393,69.0
1761958799922000,btc,1762070400000000,116000,put,37.23,,261.46,0.0574,109706.1563,-0.99393,0.0
1761958798915000,btc,1762070400000000,105000,put,35.19,33.73,37.41,0.0001,109706.3424,-0.01764,74.5
1761958799888000,btc,1761984000000000,115000,put,54.62,,125.64,0.0485,109685.2348,-0.99888,4.9
1761958799888000,btc,1761984000000000,104000,put,64.96,,83.96,0.0,109685.2348,-0.00182,716.5
1761958798463000,eth,1762502400000000,4300,put,60.47,38.89,71.33,0.1198,3850.61,-0.91161,134.0
1761958796449000,eth,1762502400000000,3750,put,61.76,60.66,62.71,0.0205,3850.63,-0.35677,2533.0
1761958799470000,eth,1762243200000000,4200,put,54.88,,204.17,0.0924,3848.3117,-0.95073,0.0
1761958795442000,eth,1762243200000000,3775,put,54.17,52.15,55.01,0.0122,3848.3022,-0.34475,2.0
1761958799470000,eth,1762156800000000,4050,put,48.51,,200.05,0.0543,3847.5456,-0.90574,0.0
